institution_code,institution_name
4995,Escuela Octavio Salinas Cariaga
4996,Escuela Vista Hermosa
4997,Escuela Jorge Rojas Miranda
4998,Escuela Rosa Yanez Rodriguez
4999,Escuela Basica Ramon Freire Serrano
5001,Escuela Arturo Hughes Cerna
5002,Escuela Juan Jose Latorre Benavente
5003,Escuela Francisco Coloane
5005,Escuela Escuadron
5006,Escuela Basica Patagual
2518,Liceo San Francisco
2519,Escuela Basica Raul Caceres Pacheco
2520,Escuela Municipal La Dehesa
2521,Escuela Municipal La Tuna
2522,Escuela Municipal Sn Luis De Manantiales
514,Escuela De El Corral
2523,Escuela El Amanecer de lo Moscoso
2566,Escuela Municipal De Cunaco
2575,Colegio San Gregorio
6348,Complejo Educacional Martin Kleinknecht
6349,Escuela Aguas Y Gaviotas
6350,Escuela Rayen Lafquen Queule
6351,Escuela El Sembrador
6352,Escuela Amanecer De Villa Los Boldos
6353,Escuela San Pedro
6358,Escuela Basica Estacion Tolten
6361,Escuela De Caychayen
6363,Escuela Puchilco
6370,Escuela La Concepcion
6371,Escuela Antu-Lafquen
6373,Escuela Porma
6374,Escuela Basica Rural Flor Del Valle
6377,Escuela De Camaguey
6452,Liceo Reino De Suecia
6454,Escuela Basica Collico Ranco
6455,Escuela Basica Bartolo Llancaleo
6456,Esccuela Basica Inalafquen
6457,Esc. Basica Augusto Winter Tapia
6458,Escuela Basica Calof
6459,Esc. Basica Antonio Ladino
6495,Escuela Ruca Raqui
6497,Liceo Publico Bicentenario De Excelencia Claudio Arrau Leon
6499,Romilio Adriazola
6500,Complejo Educacional Darío Salas
6501,Escuela Basica Kim Ruka
6502,Escuela Basica Nehuentue
6504,Escuela Tranapuente
6506,Escuela Municipal Dinamarca
6508,"Escuela Basica Dinamarca, Lucero"
6510,Escuela Basica Pailacoyan
6512,Escuela Villa Las Araucarias
6515,Escuela Catripulli
6521,Escuela Basica Camarones
6523,Escuela Basica Chomio
6528,Escuela Basica Bajo Yupehue
6529,Escuela Basica Matte Y Sanchez
3711,Colegio De La Purisima Concepcion
6539,Escuela Basica Coi Coi
6585,Liceo Bicentenario Luis Gonzalez Vasquez 6585-4
6587,Escuela Alejandro Gorostiaga
6588,Escuela Republica
6589,Escuela Juan Xxiii
6593,Escuela Basica El Crucero
7086,Escuela Rural Coihueco
6600,Escuela El Copihual
6602,Escuela Basica Catrianche
6605,Esc.Basica Rayen Mahuida
6608,Esc. Basica La Araucaria
6611,Esc. Basica Chivilcoyan
6639,Escuela Basica Manio Ducanan
448,Liceo Pedro Troncoso Machuca
6751,Instituto Comercial De Valdivia
6752,Liceo Tecnico Valdivia
6753,Liceo Santa Maria La Blanca
6774,Escuela El Laurel
6777,Escuela Fedor M.Dostoievski
6780,Escuela Fernando Santivan
6781,Escuela Alemania
6785,Escuela Angachilla
6791,Escuela De Niebla Juan Bosch
6793,Escuela Rural Huellelhue
6798,Escuela Rural Punucapa
6803,Escuela Rural Casa Blanca
6804,Escuela Rural Los Guindos
6805,Escuela Rural Santo Domingo
6807,Escuela Rural Pishuinco
6814,Escuela Rural Mision De Arique
6815,Escuela Rural Los Molinos
6816,Escuela Rural Cayumapu
6817,Escuela Rural Andres Fried Kopp
6818,Escuela Rural Los Pellines
6852,Colegio Pelchuquin
6853,Liceo Politecnico Pesquero
6855,Escuela Rural Maiquillahue
6857,Escuela Rural Mississippi
6865,Escuela Rural Huifco
6866,Escuela Rural Alfonso Osses Perez
6867,Esc.Rural Jorge Roberto Fontannaz Bluas
6876,Escuela Fray Bernabe De Lucerna
6877,Escuela Rural Osvaldo Fernandez V.
6878,Escuela Rural Paillaco
6882,Escuela Rural Linguento
6884,Escuela Rural Flora Martin Imigo
6886,Escuela Valle De Mariquina
6891,Esc.Rural Juan Poblete Saint-Simon
6897,Liceo Polivalente Camilo Henriquez G.
6898,Escuela Felipe Barthou Corbeaux
6899,Liceo Republica Del Brasil
6901,Escuela Rural Reduccion Antilhue
6902,Escuela Rural Rucaklen
6903,Escuela Rural Puquine Bajo
6905,Escuela Rural Aylin
6916,Escuela Alberto Cordova Latorre
6929,Liceo Bicentenario Alberto Blest Gana
6930,Escuela Francia
6932,Escuela Nevada
6933,Escuela Rural Folilco
6934,Escuela Nueva Espana
6935,Escuela Rural Antilhue
6944,Escuela Rural Ustaritz
