city_id,code_national,city
389,13201,"Puente Alto, Metropolitana"
390,13202,"Pirque, Metropolitana"
359,13110,"La Florida, Metropolitana"
378,13112,"La Pintana, Metropolitana"
391,13203,"San José De Maipo, Metropolitana"
362,13123,"Providencia, Metropolitana"
373,13122,"Peñalolén, Metropolitana"
370,13113,"La Reina, Metropolitana"
363,13120,"Ñuñoa, Metropolitana"
372,13118,"Macul, Metropolitana"
364,13114,"Las Condes, Metropolitana"
366,13115,"Lo Barnechea, Metropolitana"
365,13132,"Vitacura, Metropolitana"
400,13501,"Melipilla, Metropolitana"
402,13505,"San Pedro, Metropolitana"
398,13605,"Peñaflor, Metropolitana"
396,13603,"Isla De Maipo, Metropolitana"
401,13504,"María Pinto, Metropolitana"
368,13503,"Curacaví, Metropolitana"
395,13601,"Talagante, Metropolitana"
399,13604,"Padre Hurtado, Metropolitana"
403,13502,"Alhué, Metropolitana"
397,13602,"El Monte, Metropolitana"
