id,latitud,longitud,address_street,plocation_id,coordinates,campus_code,institution_code,imputed
8562,-35.435979,-71.646319,14 Oriente 465,150,POINT (-71.646319 -35.435979),1674800001,16748,false
8563,-35.44227,-71.68455,Avenida Colín 0 490,150,POINT (-71.68455 -35.44227),1674900001,16749,false
8564,-35.98048,-72.31818,Avenida Ruperto Pinochet 635,170,POINT (-72.31818 -35.98048),1675100001,16751,false
8565,-35.429543,-71.65625,2 Sur 1448,150,POINT (-71.65625 -35.429543),1675200001,16752,false
8566,-35.83863,-71.616426,Coronel De Artilleria 741,161,POINT (-71.616426 -35.83863),1675300001,16753,false
8567,-34.9529,-71.12382,Avenida Brasil 630,142,POINT (-71.12382 -34.9529),1675400001,16754,false
8568,-35.45371,-71.69104,Avenida Colín S/N,155,POINT (-71.69104 -35.45371),1675600001,16756,false
8569,-34.98032,-71.9863,Avenida Los Alamos S/N,147,POINT (-71.9863 -34.98032),1675700001,16757,false
8570,-35.450834,-71.68217,33 Sur 336 Y 332,150,POINT (-71.68217 -35.450834),1675800001,16758,false
8571,-36.14696,-71.83285,Calle Dos Sur 159,166,POINT (-71.83285 -36.14696),1675900001,16759,false
8572,-35.433448,-71.657815,7 Oriente 611,150,POINT (-71.657815 -35.433448),1676000001,16760,false
8573,-34.978325,-71.253006,Av Diego Portales 1197,140,POINT (-71.253006 -34.978325),1676100001,16761,false
8574,-34.98055,-71.23944,Carmen 951,140,POINT (-71.23944 -34.98055),1676200001,16762,false
8575,-23.682663,-70.412211,Avenida Angamos 1381,23,POINT (-70.412211 -23.682663),1676300001,16763,false
8576,-40.796886,-73.21836,Pedro Aguirre Cerda 796,294,POINT (-73.21836 -40.796886),1676400001,16764,false
8577,-41.263182,-73.007105,Candelaria 549,301,POINT (-73.007105 -41.263182),1676500001,16765,false
8579,-41.394243,-72.913445,Pedro De Valdivia 1855,274,POINT (-72.913445 -41.394243),1676700001,16767,false
8580,-41.865113,-73.81555,Prolongacion Poblacion Huaihuen 316,305,POINT (-73.81555 -41.865113),1676800001,16768,false
8581,-36.95482,-73.15409,Avda. Galvarino 2081,224,POINT (-73.15409 -36.95482),1677000001,16770,false
8582,-31.774243,-70.970391,Avda Jose Miguel Infante 854,55,POINT (-70.970391 -31.774243),1677100001,16771,false
8583,-33.508687,-70.580931,Los Refugios 5113,373,POINT (-70.580931 -33.508687),1677300001,16773,false
8584,-36.873294,-72.092924,Las Violetas 88 Camino Pueblo Seco Km 8 88,183,POINT (-72.092924 -36.873294),1677400001,16774,false
8585,-18.44772,-70.28802,Pasaje Constitucion - Poblacion Cardenal Raul Silva Henriquez 897,3,POINT (-70.28802 -18.44772),1677500001,16775,false
8586,-33.321886,-70.651411,Avenida Chamisero 14397,387,POINT (-70.651411 -33.321886),1677600001,16776,false
8587,-33.678691,-70.976768,Avda Los Libertadores 1296,397,POINT (-70.976768 -33.678691),1677700001,16777,false
8578,-40.5786616784894,-73.1364886257521,"Calle Bernardo Ohiggins 1011, Osorno",288,POINT (-73.1364886257521 -40.5786616784894),1676600001,16766,false
8533,-35.843716,-71.489044,Parcela 6 Camino San Antonio Sector Canteria S/N,161,POINT (-71.489044 -35.843716),1670800001,16708,false
8589,-36.99961,-73.15548,Alcalde Gabriel Gana Nro. 1090. Conjunto Habitacional La Peña 1096,224,POINT (-73.15548 -36.99961),1677900001,16779,false
8591,-37.4778486,-72.3598992,Carlos Condell 826,199,POINT (-72.3598992 -37.4778486),1678100001,16781,false
8592,-36.88455,-73.1456,Vicente Huidobro 7064,214,POINT (-73.1456 -36.88455),1678200001,16782,false
8593,-33.60736,-70.68319,Avda Padre Hurtado 13560,369,POINT (-70.68319 -33.60736),1678300001,16783,false
8594,-36.991461,-73.155772,Sola Sierra 2651,224,POINT (-73.155772 -36.991461),1678400001,16784,false
8596,-33.23749,-70.80696,Avda España 2484,384,POINT (-70.80696 -33.23749),1678500001,16785,false
8597,-33.66431,-70.92683,Esmeralda  Lote 2 991,395,POINT (-70.92683 -33.66431),1678700001,16787,false
8598,-33.73945,-70.68104,Calle Padre Hurtado 418,392,POINT (-70.68104 -33.73945),1678800001,16788,false
8599,-33.563305,-70.782738,Avda Parque Central Oriente 1516,352,POINT (-70.782738 -33.563305),1678900001,16789,false
8600,-33.562687,-70.58827,Tegualda 235,359,POINT (-70.58827 -33.562687),1679000001,16790,false
8601,-33.114,-71.55972,"Martinez Cruz, Placilla 64",85,POINT (-71.55972 -33.114),1679100001,16791,false
8602,-36.89855,-72.02128,Esmeralda Esquina Independencia S/N,184,POINT (-72.02128 -36.89855),1679200001,16792,false
8603,-36.82219,-73.04087,Barros Arana 1423,213,POINT (-73.04087 -36.82219),1679300001,16793,false
8604,-38.45213,-72.682,"Sector Cuel Ñielol Km. 9, Camino Lautaro - Galvarino S/N",245,POINT (-72.682 -38.45213),1679400001,16794,false
8605,-32.84089,-70.96501,Pasaje Luis Fernandez. Pob. Pedro Aguirre Cerda 1152,75,POINT (-70.96501 -32.84089),1679700001,16797,false
8607,-33.04587,-71.37668,Calle Victoria 1035,90,POINT (-71.37668 -33.04587),1679800001,16798,false
8608,-33.607665,-70.6707045,Avda San Francisco 16361,369,POINT (-70.6707045 -33.607665),1679900001,16799,false
8609,-37.03127,-72.40285,Florida 500,192,POINT (-72.40285 -37.03127),1680000001,16800,false
8610,-33.499353,-70.740595,Los Flamencos 1330,352,POINT (-70.740595 -33.499353),1680100001,16801,false
8611,-36.431017,-72.669285,Gonzálo Urrejola 822 S/N,195,POINT (-72.669285 -36.431017),1680200001,16802,false
8612,-37.218599,-72.37934875488281,Avd. Salto Del Laja 426,199,POINT (-72.37934875488281 -37.218599),1680300001,16803,false
8613,-33.51971,-70.57486,Pasaje Mañihual 7218,359,POINT (-70.57486 -33.51971),1680400001,16804,false
8614,-33.027653,-71.553109,Errazuriz 674,86,POINT (-71.553109 -33.027653),1680600001,16806,false
8615,-33.66835,-70.92647,Francisco Chacon 1235,395,POINT (-70.92647 -33.66835),1680700001,16807,false
8616,-33.622609,-70.6077651977539,Calle San Guillermo 466,389,POINT (-70.6077651977539 -33.622609),1680800001,16808,false
8617,-33.732084,-70.745143,Calle Balmaceda 695,392,POINT (-70.745143 -33.732084),1680900001,16809,false
8618,-33.591584,-70.687363,Calle Doctora Ernestina Perez 632,369,POINT (-70.687363 -33.591584),1681000001,16810,false
8619,-33.4474309,-70.6733939,Libertad 35,345,POINT (-70.6733939 -33.4474309),1681100001,16811,false
8620,-33.536311,-70.644608,Juan Luis Sanfuentes 8338,379,POINT (-70.644608 -33.536311),1681200001,16812,false
8621,-32.838371,-70.683296,Calle Nueva Parcela 1 Lote 2 S/N,70,POINT (-70.683296 -32.838371),1681300001,16813,false
8622,-33.601408,-70.8918319,Calle Manuel Ojeda 45,398,POINT (-70.8918319 -33.601408),1681400001,16814,false
8623,-33.738802,-70.740935,Federico Errazuriz 734,392,POINT (-70.740935 -33.738802),1681500001,16815,false
8624,-33.59333,-70.69384,Calle San Martin 355,369,POINT (-70.69384 -33.59333),1681600001,16816,false
8625,-34.97197,-71.20534,Liquidambar 2071,140,POINT (-71.20534 -34.97197),1681700001,16817,false
8626,-29.90239,-71.25124,Margot Dhualde 867,41,POINT (-71.25124 -29.90239),1681800001,16818,false
8627,-33.497567,-70.655883,La Marina 1220,374,POINT (-70.655883 -33.497567),1682000001,16820,false
8628,-33.533694,-70.654677,Brasil 774,377,POINT (-70.654677 -33.533694),1682100001,16821,false
8629,-33.558049,-70.642413,El Nogal 10675,378,POINT (-70.642413 -33.558049),1682300001,16823,false
8630,-33.59886,-70.89235,La Concordia 575,398,POINT (-70.89235 -33.59886),1682500001,16825,false
8631,-33.472556,-70.690403,Toro Mazotte 1888,353,POINT (-70.690403 -33.472556),1682600001,16826,false
8632,-33.543104,-70.655828,Pero 9079,377,POINT (-70.655828 -33.543104),1682700001,16827,false
8633,-33.63211,-70.76287,Los Cipreses Sitio 118,394,POINT (-70.76287 -33.63211),1682800001,16828,false
8634,-33.25922819,-70.61772739,Avenida Alemania 170,387,POINT (-70.61772739 -33.25922819),1682900001,16829,false
8635,-33.62574,-70.77372,Avda Calera De Tango 22,394,POINT (-70.77372 -33.62574),1683000001,16830,false
8636,-34.63825,-71.11756,Oscar Gajardo 2642,123,POINT (-71.11756 -34.63825),1683100001,16831,false
8637,-33.32533,-70.748346,Avda La Montaña Sur 2693,384,POINT (-70.748346 -33.32533),1683200001,16832,false
8638,-20.253753,-70.129359,Rancagua 3416,9,POINT (-70.129359 -20.253753),1683300001,16833,false
8639,-33.565749,-70.5478531,Portezuelo De Los Azules 6849,389,POINT (-70.5478531 -33.565749),1683400001,16834,false
8640,-42.46089754,-73.76417193,Ten Ten S/N,304,POINT (-73.76417193 -42.46089754),1683500001,16835,false
8641,-33.08642739,-70.93112361,El Atajo 175,388,POINT (-70.93112361 -33.08642739),1683700001,16837,false
8643,-34.440495,-71.079201,Exequiel Gonzalez 476,113,POINT (-71.079201 -34.440495),1683900001,16839,false
8644,-34.392879,-71.16522525,Balmaceda 203,115,POINT (-71.16522525 -34.392879),1684000001,16840,false
